1.1515 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
53.8954 	EXP 	grating: autoDraw = True
53.8954 	EXP 	grating: tex = 'sin'
54.1960 	EXP 	grating: autoDraw = False
54.3644 	EXP 	window1: recordFrameIntervals = False
54.3664 	DATA 	Keypress: left
54.3799 	EXP 	fixation: autoDraw = False
54.3799 	EXP 	grating: autoDraw = False
54.3800 	EXP 	window1: recordFrameIntervals = False
55.3573 	EXP 	fixation: autoDraw = True
56.3627 	EXP 	fixation: autoDraw = False
56.3801 	EXP 	grating: autoDraw = True
56.3801 	EXP 	grating: tex = 'sin'
56.6792 	EXP 	grating: autoDraw = False
56.7980 	EXP 	window1: recordFrameIntervals = False
56.8000 	DATA 	Keypress: right
56.8131 	EXP 	fixation: autoDraw = False
56.8131 	EXP 	grating: autoDraw = False
56.8132 	EXP 	window1: recordFrameIntervals = False
57.7908 	EXP 	fixation: autoDraw = True
58.7967 	EXP 	fixation: autoDraw = False
58.7967 	EXP 	grating: autoDraw = True
58.7967 	EXP 	grating: tex = 'sin'
59.0959 	EXP 	grating: autoDraw = False
59.2147 	EXP 	window1: recordFrameIntervals = False
59.2167 	DATA 	Keypress: right
59.2298 	EXP 	fixation: autoDraw = False
59.2298 	EXP 	grating: autoDraw = False
59.2299 	EXP 	window1: recordFrameIntervals = False
60.2074 	EXP 	fixation: autoDraw = True
61.7042 	EXP 	fixation: autoDraw = False
61.7042 	EXP 	grating: autoDraw = True
61.7042 	EXP 	grating: tex = 'sin'
62.0126 	EXP 	grating: autoDraw = False
62.0820 	EXP 	window1: recordFrameIntervals = False
62.0842 	DATA 	Keypress: left
62.0967 	EXP 	fixation: autoDraw = False
62.0967 	EXP 	grating: autoDraw = False
62.0969 	EXP 	window1: recordFrameIntervals = False
63.0746 	EXP 	fixation: autoDraw = True
64.0793 	EXP 	fixation: autoDraw = False
64.0958 	EXP 	grating: autoDraw = True
64.0958 	EXP 	grating: tex = 'sin'
64.3964 	EXP 	grating: autoDraw = False
64.4648 	EXP 	window1: recordFrameIntervals = False
64.4667 	DATA 	Keypress: right
64.4793 	EXP 	fixation: autoDraw = False
64.4793 	EXP 	grating: autoDraw = False
64.4794 	EXP 	window1: recordFrameIntervals = False
65.4580 	EXP 	fixation: autoDraw = True
66.4624 	EXP 	fixation: autoDraw = False
66.4795 	EXP 	grating: autoDraw = True
66.4795 	EXP 	grating: tex = 'sin'
66.7791 	EXP 	grating: autoDraw = False
66.7984 	EXP 	window1: recordFrameIntervals = False
66.8005 	DATA 	Keypress: right
66.8138 	EXP 	fixation: autoDraw = False
66.8138 	EXP 	grating: autoDraw = False
66.8139 	EXP 	window1: recordFrameIntervals = False
67.7912 	EXP 	fixation: autoDraw = True
68.7970 	EXP 	fixation: autoDraw = False
68.8130 	EXP 	grating: autoDraw = True
68.8130 	EXP 	grating: tex = 'sin'
68.8167 	DATA 	Keypress: left
69.1126 	EXP 	grating: autoDraw = False
75.5488 	EXP 	window1: recordFrameIntervals = False
75.5509 	DATA 	Keypress: left
75.5634 	EXP 	fixation: autoDraw = False
75.5634 	EXP 	grating: autoDraw = False
75.5636 	EXP 	window1: recordFrameIntervals = False
76.5415 	EXP 	fixation: autoDraw = True
77.5467 	EXP 	fixation: autoDraw = False
77.5636 	EXP 	grating: autoDraw = True
77.5636 	EXP 	grating: tex = 'sin'
77.8794 	EXP 	grating: autoDraw = False
78.2650 	EXP 	window1: recordFrameIntervals = False
78.2670 	DATA 	Keypress: right
78.2796 	EXP 	fixation: autoDraw = False
78.2796 	EXP 	grating: autoDraw = False
78.2797 	EXP 	window1: recordFrameIntervals = False
79.2580 	EXP 	fixation: autoDraw = True
80.2630 	EXP 	fixation: autoDraw = False
80.2793 	EXP 	grating: autoDraw = True
80.2793 	EXP 	grating: tex = 'sin'
80.5793 	EXP 	grating: autoDraw = False
80.9481 	EXP 	window1: recordFrameIntervals = False
80.9502 	DATA 	Keypress: right
80.9633 	EXP 	fixation: autoDraw = False
80.9633 	EXP 	grating: autoDraw = False
80.9634 	EXP 	window1: recordFrameIntervals = False
81.9420 	EXP 	fixation: autoDraw = True
82.9462 	EXP 	fixation: autoDraw = False
82.9629 	EXP 	grating: autoDraw = True
82.9629 	EXP 	grating: tex = 'sin'
83.2636 	EXP 	grating: autoDraw = False
83.3817 	EXP 	window1: recordFrameIntervals = False
83.3837 	DATA 	Keypress: right
83.3968 	EXP 	fixation: autoDraw = False
83.3968 	EXP 	grating: autoDraw = False
