trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,48,47,down,0.005,db,0.04841389281306242,0.0005989170003886102,131.91302912500032,131.91302912500032,132.21329266700013,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,49,48,down,0.005,db,0.0483860315559749,0.0006028749994584359,134.43069029199978,134.43069029199978,134.73021108299872,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,50,49,down,0.005,db,0.0483860315559749,0.0006153329995868262,137.096542416999,137.096542416999,137.39666408300036,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,51,50,down,0.005,db,0.0483860315559749,0.0006144590006442741,139.63076745800026,139.63076745800026,139.92985704199964,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,52,51,down,0.005,db,0.0483581863325009,0.0006013340007484658,142.12994004199936,142.12994004199936,142.43080216700037,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,53,52,down,0.005,db,0.0483581863325009,0.0006006670009810477,144.54746016699937,144.54746016699937,144.8466213749998,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,54,53,down,0.005,db,0.0483581863325009,0.0006314999991445802,146.94727183299983,146.94727183299983,147.24680162499862,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,55,54,down,0.005,db,0.04833035713341339,0.0007606670005770866,149.51413799999864,149.51413799999864,149.8141568329993,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,56,55,down,0.005,db,0.04833035713341339,0.0006364159999066032,153.61360391699964,153.61360391699964,153.91331075000016,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,57,56,down,0.005,db,0.04833035713341339,0.0009277919998567086,156.09722245800003,156.09722245800003,156.39746429200022,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,58,57,down,0.005,db,0.04830254394949064,0.0007493339999200543,158.49660724999922,158.49660724999922,158.7968629579991,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,59,58,down,0.005,db,0.04830254394949064,0.000706832999640028,160.98036775000037,160.98036775000037,161.2802699169988,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,60,59,down,0.005,db,0.04830254394949064,0.0007768750001559965,163.5467801249997,163.5467801249997,163.84727033299896,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,61,60,down,0.005,db,0.04827474677151625,0.0005986249998386484,165.93102133299908,165.93102133299908,166.23021129199878,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,62,61,down,0.005,db,0.04827474677151625,0.000609124999755295,168.43096954199973,168.43096954199973,168.72998579199884,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,63,62,down,0.005,db,0.04827474677151625,0.0005978329991194187,170.79744124999888,170.79744124999888,171.09711779200006,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,64,63,down,0.005,db,0.048246965590279085,0.0006328750005195616,173.2143183749995,173.2143183749995,173.51419112499934,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,65,64,down,0.005,db,0.048246965590279085,0.0006547499997395789,175.64693595799872,175.64693595799872,175.94727624999905,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,66,65,down,0.005,db,0.048246965590279085,0.0005109170015202835,178.06375424999896,178.06375424999896,178.3637244169986,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,67,66,down,0.005,db,0.04821920039657335,0.0007802079999237321,180.4971427499986,180.4971427499986,180.79751437499908,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,68,67,down,0.005,db,0.04821920039657335,0.000794167001004098,182.91360008300035,182.91360008300035,183.213895375,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,69,68,down,0.005,db,0.04821920039657335,0.0007556670007033972,185.33065566699952,185.33065566699952,185.63052029199935,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
